week_start,request_count,success_rate,cache_hit_rate,latency_p50_ms,latency_p95_ms,latency_p99_ms,latency_cache_hit_p95_ms,latency_cache_miss_p95_ms,avg_ttft_ms,prompt_tokens_total,completion_tokens_total
2026-03-30,1,1.000000,0.000000,9212.3489,9212.3489,9212.3489,0.0000,9212.3489,0.0000,256,180
2026-04-06,27,0.925926,0.000000,1.6147,6100.7325,7823.4677,0.0000,6100.7325,0.0000,72,832
